url_length,has_https,num_dots,has_ip,has_login_keyword,is_shortened,label
37,1,1,0,0,0,0
45,1,2,0,0,0,0
38,1,2,0,0,0,0
29,1,2,0,0,0,0
36,1,1,0,0,1,0
49,1,1,0,0,0,0
36,1,2,0,0,0,0
51,1,4,0,0,0,0
42,1,2,0,0,0,0
44,1,1,0,0,0,0
71,1,2,0,0,0,0
38,1,1,0,0,0,0
32,1,2,0,0,1,0
49,1,2,0,0,0,0
35,1,2,0,0,0,0
42,1,2,0,0,0,0
34,1,2,0,0,0,0
57,1,3,0,0,0,0
54,1,2,0,0,0,0
29,1,2,0,0,0,0
42,1,3,0,0,0,0
20,1,1,0,0,0,0
47,1,2,0,0,0,0
31,1,2,0,0,0,0
29,1,1,0,0,0,0
20,1,2,0,0,0,0
25,1,2,0,0,0,0
24,1,2,0,0,0,0
34,1,2,0,0,0,0
36,1,2,0,0,0,0
62,0,4,1,1,0,1
41,0,1,0,1,1,1
52,0,1,0,1,0,1
53,0,2,0,1,0,1
47,0,4,1,1,0,1
45,0,1,0,1,0,1
42,0,1,0,1,1,1
45,0,1,0,1,0,1
46,0,1,0,1,0,1
51,0,3,1,1,0,1
39,0,1,0,1,1,1
52,0,1,0,1,0,1
47,0,1,0,1,0,1
52,0,4,1,1,0,1
38,0,1,0,1,1,1
32,0,1,1,1,0,1
44,0,1,0,1,0,1
33,0,1,0,1,1,1
45,0,1,0,1,0,1
46,0,1,0,1,0,1
38,0,3,1,1,0,1
41,0,1,0,1,1,1
50,0,1,0,1,0,1
51,0,1,0,1,0,1
32,0,1,0,1,1,1
28,1,2,0,0,0,0
41,0,3,1,1,0,1
30,1,2,0,0,0,0
50,0,2,0,1,0,1
38,1,2,0,0,0,0
50,0,1,0,1,0,1
34,1,2,0,0,0,0
45,0,1,0,1,0,1
38,1,2,0,0,0,0
45,0,1,0,1,0,1
36,1,2,0,0,1,0
41,0,4,1,1,0,1
36,1,2,0,0,0,0
39,0,3,1,1,0,1
27,1,2,0,0,0,0
50,0,1,0,1,0,1
31,1,2,0,0,0,0
52,0,2,0,1,0,1
35,1,2,0,0,1,0
47,0,1,0,1,0,1
30,1,2,0,0,0,0
39,0,3,1,1,0,1
39,1,2,0,0,1,0
50,0,1,0,1,0,1
29,1,1,0,0,0,0
41,0,3,1,1,0,1
37,1,2,0,0,0,0
36,0,3,1,1,0,1
36,1,2,0,0,0,0
